Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference

"12/06/2020 01","31.91","30.12","9,399","9,428","-29"
"12/06/2020 02","29.95","29.33","9,271","9,257","14"
"12/06/2020 03","26.08","26.76","9,181","9,160","21"
"12/06/2020 04","27.66","29.16","9,148","9,166","-18"
"12/06/2020 05","30.00","29.52","9,157","9,167","-10"
"12/06/2020 06","28.24","29.11","9,204","9,219","-15"
"12/06/2020 07","26.73","26.77","9,312","9,285","27"
"12/06/2020 08","26.28","28.21","9,539","9,506","33"
"12/06/2020 09","30.15","30.17","9,700","9,670","30"
"12/06/2020 10","30.17","30.16","9,802","9,770","32"
"12/06/2020 11","33.65","31.70","9,906","9,887","19"
"12/06/2020 12","35.50","35.61","9,967","10,025","-58"
"12/06/2020 13","35.97","35.97","10,001","10,012","-11"
"12/06/2020 14","36.02","36.07","9,984","9,986","-2"
"12/06/2020 15","36.05","36.02","9,975","9,998","-23"
"12/06/2020 16","35.09","36.04","10,045","10,095","-50"
"12/06/2020 17","37.09","43.83","10,306","10,497","-191"
"12/06/2020 18","865.34","55.68","10,711","10,780","-69"
"12/06/2020 19","37.01","37.52","10,625","10,567","58"
"12/06/2020 20","36.03","36.03","10,511","10,394","117"
"12/06/2020 21","35.85","35.51","10,370","10,250","120"
"12/06/2020 22","33.98","34.19","10,157","10,001","156"
"12/06/2020 23","33.56","33.79","9,830","9,748","82"
"12/06/2020 24","32.41","32.00","9,515","9,532","-17"
"12/07/2020 01","30.35","30.10","9,288","9,310","-22"
"12/07/2020 02","29.95","29.09","9,187","9,172","15"
"12/07/2020 03","30.15","30.06","9,129","9,114","15"
"12/07/2020 04","30.11","29.97","9,123","9,106","17"
"12/07/2020 05","30.02","29.79","9,185","9,167","18"
"12/07/2020 06","28.97","30.10","9,387","9,344","43"
"12/07/2020 07","32.34","32.81","9,833","9,684","149"
"12/07/2020 08","33.94","34.87","10,363","10,136","227"
"12/07/2020 09","35.70","37.77","10,502","10,364","138"
"12/07/2020 10","35.80","35.83","10,491","10,392","99"
"12/07/2020 11","38.53","39.20","10,516","10,467","49"
"12/07/2020 12","38.38","38.43","10,528","10,518","10"
"12/07/2020 13","41.01","34.91","10,511","10,394","117"
"12/07/2020 14","33.46","34.09","10,520","10,287","233"
"12/07/2020 15","31.10","31.31","10,518","10,189","329"
"12/07/2020 16","31.47","32.25","10,570","10,354","216"
"12/07/2020 17","34.86","35.06","10,783","10,698","85"
"12/07/2020 18","37.68","38.22","11,094","10,864","230"
"12/07/2020 19","36.96","35.18","10,914","10,594","320"
"12/07/2020 20","35.78","35.39","10,758","10,473","285"
"12/07/2020 21","34.71","34.61","10,586","10,318","268"
"12/07/2020 22","34.44","33.62","10,307","10,052","255"
"12/07/2020 23","31.11","31.12","9,909","9,706","203"
"12/07/2020 24","31.21","30.97","9,562","9,408","154"
"12/08/2020 01","29.84","31.23","9,442","9,276","166"
"12/08/2020 02","31.20","31.24","9,326","9,115","211"
"12/08/2020 03","31.10","31.22","9,255","9,041","214"
"12/08/2020 04","31.27","31.27","9,240","9,024","216"
"12/08/2020 05","32.15","31.32","9,291","9,068","223"
"12/08/2020 06","32.66","32.32","9,475","9,256","219"
"12/08/2020 07","35.13","34.64","9,911","9,630","281"
"12/08/2020 08","34.76","37.00","10,320","10,122","198"
"12/08/2020 09","36.24","37.64","10,423","10,350","73"
"12/08/2020 10","38.10","37.85","10,378","10,366","12"
"12/08/2020 11","38.07","38.26","10,378","10,387","-9"
"12/08/2020 12","38.55","38.29","10,380","10,447","-67"
"12/08/2020 13","37.57","37.57","10,358","10,421","-63"
"12/08/2020 14","37.50","38.03","10,364","10,419","-55"
"12/08/2020 15","37.48","37.63","10,361","10,393","-32"
"12/08/2020 16","34.96","37.47","10,414","10,433","-19"
"12/08/2020 17","37.45","38.15","10,631","10,716","-85"
"12/08/2020 18","37.54","37.82","10,952","10,883","69"
"12/08/2020 19","50.05","51.85","10,784","10,662","122"
"12/08/2020 20","59.22","63.47","10,647","10,510","137"
"12/08/2020 21","42.86","48.19","10,489","10,314","175"
"12/08/2020 22","40.36","40.11","10,226","10,090","136"
"12/08/2020 23","40.17","38.91","9,835","9,783","52"
"12/08/2020 24","39.01","40.98","9,488","9,495","-7"
"12/09/2020 01","40.71","40.98","9,456","9,291","165"
"12/09/2020 02","39.60","38.51","9,341","9,167","174"
"12/09/2020 03","40.00","40.00","9,273","9,079","194"
"12/09/2020 04","39.95","39.36","9,259","9,098","161"
"12/09/2020 05","35.06","35.98","9,311","9,219","92"
"12/09/2020 06","33.14","34.97","9,503","9,323","180"
"12/09/2020 07","34.16","35.00","9,940","9,639","301"
"12/09/2020 08","34.75","34.99","10,403","10,119","284"
"12/09/2020 09","34.94","36.74","10,500","10,405","95"
"12/09/2020 10","37.79","37.63","10,440","10,446","-6"
"12/09/2020 11","37.80","37.85","10,439","10,427","12"
"12/09/2020 12","37.56","37.74","10,431","10,479","-48"
"12/09/2020 13","37.57","37.56","10,392","10,452","-60"
"12/09/2020 14","37.48","37.29","10,392","10,395","-3"
"12/09/2020 15","35.14","37.12","10,388","10,422","-34"
"12/09/2020 16","37.56","38.25","10,438","10,540","-102"
"12/09/2020 17","105.96","63.18","10,656","10,782","-126"
"12/09/2020 18","398.42","398.87","10,987","10,856","131"
"12/09/2020 19","394.56","96.89","10,830","10,659","171"
"12/09/2020 20","39.56","62.66","10,713","10,659","54"
"12/09/2020 21","37.60","111.86","10,569","10,525","44"
"12/09/2020 22","65.54","47.82","10,319","10,337","-18"
"12/09/2020 23","39.34","38.65","9,937","10,033","-96"
"12/09/2020 24","43.14","41.40","9,596","9,776","-180"
"12/10/2020 01","39.26","39.92","9,543","9,478","65"
"12/10/2020 02","38.75","41.26","9,429","9,372","57"
"12/10/2020 03","37.77","37.64","9,362","9,301","61"
"12/10/2020 04","37.42","36.16","9,349","9,322","27"
"12/10/2020 05","37.72","37.60","9,401","9,362","39"
"12/10/2020 06","37.53","37.76","9,592","9,537","55"
"12/10/2020 07","42.63","39.57","10,021","9,896","125"
"12/10/2020 08","37.69","38.14","10,502","10,373","129"
"12/10/2020 09","37.79","43.94","10,613","10,659","-46"
"12/10/2020 10","37.54","37.79","10,566","10,669","-103"
"12/10/2020 11","38.44","37.50","10,555","10,678","-123"
"12/10/2020 12","32.86","40.49","10,539","10,689","-150"
"12/10/2020 13","34.98","36.57","10,490","10,626","-136"
"12/10/2020 14","35.04","37.42","10,482","10,601","-119"
"12/10/2020 15","37.71","37.77","10,467","10,635","-168"
"12/10/2020 16","38.74","46.60","10,508","10,767","-259"
"12/10/2020 17","416.82","84.14","10,705","11,028","-323"
"12/10/2020 18","93.80","93.21","11,037","11,175","-138"
"12/10/2020 19","41.26","39.41","10,897","11,007","-110"
"12/10/2020 20","35.79","38.19","10,797","10,977","-180"
"12/10/2020 21","41.01","38.53","10,660","10,871","-211"
"12/10/2020 22","47.34","40.50","10,417","10,640","-223"
"12/10/2020 23","37.48","37.63","10,042","10,290","-248"
"12/10/2020 24","37.89","38.02","9,704","10,003","-299"
"12/11/2020 01","37.29","37.49","9,636","9,844","-208"
"12/11/2020 02","37.60","37.82","9,518","9,744","-226"
"12/11/2020 03","37.68","37.64","9,449","9,663","-214"
"12/11/2020 04","37.69","37.65","9,436","9,599","-163"
"12/11/2020 05","37.73","38.58","9,491","9,701","-210"
"12/11/2020 06","37.94","40.37","9,671","9,904","-233"
"12/11/2020 07","51.21","46.50","10,077","10,257","-180"
"12/11/2020 08","41.98","39.37","10,678","10,717","-39"
"12/11/2020 09","41.55","54.28","10,812","11,027","-215"
